Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1961","1961","t","5392477","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1962","1962","t","5556834","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1963","1963","t","5740065","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1964","1964","t","6344931","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1965","1965","t","7579649","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1966","1966","t","5801814","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1967","1967","t","6791990","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1968","1968","t","6652388","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1969","1969","t","6394285","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1970","1970","t","7553083","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1971","1971","t","6593179","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1972","1972","t","6760641","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1973","1973","t","7160127","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1974","1974","t","6764038","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1975","1975","t","7781538","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1976","1976","t","9757079","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1977","1977","t","8993696","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1978","1978","t","7296142","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1979","1979","t","7595214","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1980","1980","t","9775720","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1981","1981","t","8228326","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1982","1982","t","9734553","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1983","1983","t","7741753","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1984","1984","t","9027367","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1985","1985","t","9024555","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1986","1986","t","10404680","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1987","1987","t","10425100","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1988","1988","t","11806450","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1989","1989","t","11029800","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1990","1990","t","7420931","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1991","1991","t","9488007","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1992","1992","t","10006292","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1993","1993","t","10107310","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1994","1994","t","10540789","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1995","1995","t","11226064","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1996","1996","t","8652328","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1997","1997","t","8351665","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1998","1998","t","7716090","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","1999","1999","t","11709694","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2000","2000","t","11134588","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2001","2001","t","10184185","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2002","2002","t","10445986","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2003","2003","t","10334603","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2004","2004","t","13277008","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2005","2005","t","13192863","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2006","2006","t","11526685","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2007","2007","t","11060741","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2008","2008","t","12061465","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2009","2009","t","12651144","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2010","2010","t","11235986","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2011","2011","t","13476994","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2012","2012","t","11549881","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2013","2013","t","11782549","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2014","2014","t","12175602","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2015","2015","t","12301201","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2016","2016","t","10622189","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2017","2017","t","12464766","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2018","2018","t","11808412","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2019","2019","t","10368639","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2020","2020","t","11091011","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2021","2021","t","11660605","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2022","2022","t","10776268","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2023","2023","t","10285663","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1961","1961","t","56217596","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1962","1962","t","65675296","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1963","1963","t","76439287","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1964","1964","t","85853775","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1965","1965","t","90705628","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1966","1966","t","98403988","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1967","1967","t","96734821","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1968","1968","t","97716770","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1969","1969","t","97998501","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1970","1970","t","113101872","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1971","1971","t","118129217","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1972","1972","t","116428568","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1973","1973","t","124584102","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1974","1974","t","127010746","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1975","1975","t","128726268","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1976","1976","t","129231908","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1977","1977","t","131917523","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1978","1978","t","140023847","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1979","1979","t","146846141","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1980","1980","t","142876522","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1981","1981","t","146959846","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1982","1982","t","164741383","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1983","1983","t","172008870","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1984","1984","t","181095752","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1985","1985","t","171318871","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1986","1986","t","174720521","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1987","1987","t","176662482","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1988","1988","t","171441919","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1989","1989","t","182485246","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1990","1990","t","191614680","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1991","1991","t","186124638","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1992","1992","t","188291880","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1993","1993","t","179746933","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1994","1994","t","177994395","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1995","1995","t","187297968","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1996","1996","t","197032897","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1997","1997","t","202771843.07","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1998","1998","t","200571557.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1999","1999","t","200403308.04","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2000","2000","t","189813760.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2001","2001","t","179304195.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2002","2002","t","176341687.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2003","2003","t","162303880.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2004","2004","t","180521211.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2005","2005","t","182055538.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2006","2006","t","183276448","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2007","2007","t","187744460.03","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2008","2008","t","194069375.04","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2009","2009","t","197774869.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2010","2010","t","198676711.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2011","2011","t","204548773.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2012","2012","t","208232529.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2013","2013","t","207875104.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2014","2014","t","211341310.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2015","2015","t","213723732.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2016","2016","t","212681776.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2017","2017","t","214429949.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2018","2018","t","214078796.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2019","2019","t","211405211.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2020","2020","t","213610729.06","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2021","2021","t","214403870.05","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2022","2022","t","210070800.06","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2023","2023","t","208064200.06","E","Estimated value",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1961","1961","t","133690","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1962","1962","t","130230","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1963","1963","t","117390","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1964","1964","t","121900","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1965","1965","t","97830","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1966","1966","t","102340","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1967","1967","t","116990","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1968","1968","t","84810","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1969","1969","t","95390","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1970","1970","t","90680","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1971","1971","t","76510","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1972","1972","t","41450","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1973","1973","t","69330","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1974","1974","t","49250","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1975","1975","t","42400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1976","1976","t","30400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1977","1977","t","24110","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1978","1978","t","36790","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1979","1979","t","30000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1980","1980","t","25300","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1981","1981","t","20100","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1982","1982","t","27100","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1983","1983","t","38000","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1984","1984","t","35600","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1985","1985","t","61560","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1986","1986","t","60020","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1987","1987","t","59500","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1988","1988","t","74896","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1989","1989","t","105825","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1990","1990","t","121300","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1991","1991","t","115042","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1992","1992","t","127736.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1993","1993","t","131041.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1994","1994","t","128509","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1995","1995","t","127305","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1996","1996","t","120279","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1997","1997","t","127088","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1998","1998","t","113823.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","1999","1999","t","110256","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2000","2000","t","115958","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2001","2001","t","102810","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2002","2002","t","105227","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2003","2003","t","106723","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2004","2004","t","115110","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2005","2005","t","102306","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2006","2006","t","94782","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2007","2007","t","97315.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2008","2008","t","111523","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2009","2009","t","137131.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2010","2010","t","120170","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2011","2011","t","130400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2012","2012","t","124091","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2013","2013","t","80801","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2014","2014","t","83492","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2015","2015","t","80858.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2016","2016","t","80297","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2017","2017","t","92544","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2018","2018","t","71430","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2019","2019","t","82570","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2020","2020","t","75460","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2021","2021","t","62340","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2022","2022","t","64480","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0113","Rice","2023","2023","t","68270","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1961","1961","t","53494496","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1962","1962","t","49825552","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1963","1963","t","55497008","A","Official figure",""
